_id,bankNameExtracter,bank_domain_length,bank_full_endpoint,bank_full_name,bank_name_denoter,bank_short_endpoint,bank_short_endpoint_hashed_form_md5,bank_short_forms,is_running_on_https
6510984e70c92eadc4ecf199,"""MNSBANKBK"" : [""the mandvi nagarik sahakari bank ltd"", ""the mandvi nagarik"", ""the mandvi nagarik cooperative""],",10,https://www.mnsbank.in,The Mandvi Nagarik Sahakari Bank Ltd,MNSBANKBK,mnsbank.in,aa2113fb52e69e5b4a5f735611c71eb4,"[""the mandvi nagarik sahakari bank ltd"", ""the mandvi nagarik"", ""the mandvi nagarik cooperative""],",
6510984e70c92eadc4ecf1ca,"""LIVQUIKBK"" : [""livquik technology (india) private limited"", ""livquik technology (india) private"", ""livquik technology (india) private cooperative limited""],",11,https://livquik.com/,LivQuik Technology (India) Private Limited,LIVQUIKBK,livquik.com,b96d24415a477e8110d192143ff8e21e,"[""livquik technology (india) private limited"", ""livquik technology (india) private"", ""livquik technology (india) private cooperative limited""],",
6510984e70c92eadc4ecf152,"""IOBBK"" : [""indian overseas bank"", ""iob""],",6,https://www.iob.in,Indian Overseas Bank,IOBBK,iob.in,698102ebb92dff4685c0be806e9dd608,"[""indian overseas bank"", ""iob""],",true
6510984e70c92eadc4ecf171,"""SBIBK"" : [""state bank of india"", ""sbi""],",9,https://sbi.co.in,State Bank of India,SBIBK,sbi.co.in,3e8407c29a5dc6261d67eb80dd55c7b7,"[""state bank of india"", ""sbi""],",
6510984e70c92eadc4ecf175,"""CGBANKBK"" : [""chhatisgarh rajya gramin bank"", ""chhatisgarh rajya gramin""],",9,https://www.cgbank.in,Chhatisgarh Rajya Gramin Bank,CGBANKBK,cgbank.in,27660ac6ba62b5ab3c713ddd825561cf,"[""chhatisgarh rajya gramin bank"", ""chhatisgarh rajya gramin""],",
6510984e70c92eadc4ecf177,"""JJSBLBK"" : [""jalgaon janta co op bank"", ""jalgaon janta co op""],",9,https://jjsbl.com/,Jalgaon Janta co op Bank,JJSBLBK,jjsbl.com,369ea02643bba008a81d96c890a4c3f9,"[""jalgaon janta co op bank"", ""jalgaon janta co op""],",
6510984e70c92eadc4ecf182,"""JSCBLBK"" : [""janatha seva cooperative bank ltd bank"", ""janatha seva cooperative"", ""janatha seva cooperative cooperative""],",9,https://www.jscbl.com/,JANATHA SEVA COOPERATIVE BANK LTD bank,JSCBLBK,jscbl.com,4f67993a7e31000c7b916c5fdaeca528,"[""janatha seva cooperative bank ltd bank"", ""janatha seva cooperative"", ""janatha seva cooperative cooperative""],",
6510984e70c92eadc4ecf191,"""SHGBBK"" : [""sarva haryana gramin bank"", ""sarva haryana"", ""shgb""],",10,https://shgb.co.in,Sarva Haryana Gramin Bank,SHGBBK,shgb.co.in,bae2734d76b81ebf2a834115c138a963,"[""sarva haryana gramin bank"", ""sarva haryana"", ""shgb""],",
6510984e70c92eadc4ecf1ab,"""UCOBANKBK"" : [""uco bank"", ""uco""],",11,https://www.ucobank.com,UCO Bank,UCOBANKBK,ucobank.com,8a014892213e0fb87ffb708848abf9ed,"[""uco bank"", ""uco""],",
6510984e70c92eadc4ecf1b1,"""CEDGEINBBK"" : [""meghalaya rural bank"", ""meghalaya rural""],",11,https://www.cedgeinb.in,Meghalaya Rural Bank,CEDGEINBBK,cedgeinb.in,ec91177e6b3dd43fb247e85a3d643ea3,"[""meghalaya rural bank"", ""meghalaya rural""],",
6510984e70c92eadc4ecf1b2,"""SVCBANKBK"" : [""svc bank"", ""svc""],",11,https://www.svcbank.com,SVC Bank,SVCBANKBK,svcbank.com,7e97618b2be931782c47571fb8085de6,"[""svc bank"", ""svc""],",
6510984e70c92eadc4ecf1b5,"""KDCCBANKBK"" : [""the kaira district central co-op. bank ltd."", ""kaira district"", ""kaira district cooperative""],",11,https://kdccbank.in,The Kaira District Central Co-Op. Bank Ltd.,KDCCBANKBK,kdccbank.in,acbd08bdf6bc5754d96ed9cce9bca885,"[""the kaira district central co-op. bank ltd."", ""kaira district"", ""kaira district cooperative""],",
6510984e70c92eadc4ecf1dd,"""MPSSBANKBK"" : [""manvi pattana souharda sahakari bank ni"", ""manvi pattana"", ""manvi pattana cooperative""],",12,https://mpssbank.com,Manvi Pattana Souharda Sahakari Bank NI,MPSSBANKBK,mpssbank.com,bf1452e83fb492834613a5c6353f018a,"[""manvi pattana souharda sahakari bank ni"", ""manvi pattana"", ""manvi pattana cooperative""],",
6510984e70c92eadc4ecf153,"""SCBK"" : [""standard chartered bank"", ""sc""],",6,https://www.sc.com,Standard Chartered Bank,SCBK,sc.com,7d3f94a87b47d10d8a894c368fdece76,"[""standard chartered bank"", ""sc""],",
6510984e70c92eadc4ecf156,"""DBSBK"" : [""dbs digibank"", ""dbs""],",7,https://www.dbs.com,DBS Digibank,DBSBK,dbs.com,233f8e7fc8385da4a137cf8f5ee4abb7,"[""dbs digibank"", ""dbs""],",
6510984e70c92eadc4ecf159,"""CGGBBK"" : [""chaitanya godavari gramin bank"", ""chaitanya godavari gramin""],",7,https://cggb.in,Chaitanya Godavari Gramin Bank,CGGBBK,cggb.in,9ada4b5d4fd48b44fdd06725d6727f1c,"[""chaitanya godavari gramin bank"", ""chaitanya godavari gramin""],",
6510984e70c92eadc4ecf167,"""NCBBK"" : [""the national co-operative bank ltd"", ""the national co-operative"", ""the national co-operative cooperative""],",8,https://www.ncb.coop/,The National Co-operative Bank Ltd,NCBBK,ncb.coop,89bf034a5d5cba808488a85e9cddb598,"[""the national co-operative bank ltd"", ""the national co-operative"", ""the national co-operative cooperative""],",
6510984e70c92eadc4ecf16e,"""CSBBK"" : [""catholic syrian bank"", ""csb""],",9,https://www.csb.co.in,Catholic Syrian Bank,CSBBK,csb.co.in,bfdb79110d960a2b4d7b331c05791c36,"[""catholic syrian bank"", ""csb""],",
6510984e70c92eadc4ecf193,"""SCCBANKBK"" : [""sarvodaya commercial co-operative bank"", ""sarvodaya commercial"", ""sccb""],",10,https://sccbank.in,Sarvodaya Commercial Co-operative Bank,SCCBANKBK,sccbank.in,26f092932a4794fb644feb8b4f1aff1d,"[""sarvodaya commercial co-operative bank"", ""sarvodaya commercial"", ""sccb""],",
6510984e70c92eadc4ecf198,"""RCCBANKBK"" : [""the rajkot commercial co op bank ltd."", ""the rajkot commercial"", ""the rajkot commercial cooperative""],",10,https://rccbank.in,The Rajkot Commercial Co op Bank Ltd.,RCCBANKBK,rccbank.in,b0b567e420dc423df1bed8f6415fbd51,"[""the rajkot commercial co op bank ltd."", ""the rajkot commercial"", ""the rajkot commercial cooperative""],",
6510984e70c92eadc4ecf19b,"""DMCBANKBK"" : [""dhanera mercantile co-operative bank ltd"", ""dhanera mercantile"", ""dhanera mercantile cooperative""],",10,https://dmcbank.in,Dhanera Mercantile Co-operative Bank Ltd,DMCBANKBK,dmcbank.in,792cbc8493c8a384cb0cf475938dacbf,"[""dhanera mercantile co-operative bank ltd"", ""dhanera mercantile"", ""dhanera mercantile cooperative""],",
6510984e70c92eadc4ecf19e,"""RPCBANKBK"" : [""rajkot peoples cooperative bank ltd"", ""rajkot peoples"", ""rajkot peoples cooperative""],",10,https://www.rpcbank.in/,Rajkot Peoples Cooperative Bank Ltd,RPCBANKBK,rpcbank.in,d1c065ac05ffa04769ca94cd4c6e01a9,"[""rajkot peoples cooperative bank ltd"", ""rajkot peoples"", ""rajkot peoples cooperative""],",
6510984e70c92eadc4ecf1a7,"""MEGCABBK"" : [""the meghalaya cooperative apex bank ltd."", ""the meghalaya cooperative apex"", ""the meghalaya cooperative apex cooperative""],",10,https://megcab.com/,The Meghalaya Cooperative Apex Bank Ltd.,MEGCABBK,megcab.com,10edccc0cd966424576d6e256ceebd00,"[""the meghalaya cooperative apex bank ltd."", ""the meghalaya cooperative apex"", ""the meghalaya cooperative apex cooperative""],",
6510984e70c92eadc4ecf1bf,"""PUCBANKBK"" : [""people's urban co-operative bank ltd"", ""people's urban"", ""people's urban cooperative""],",11,https://pucbank.com/,"People's Urban Co-operative Bank Ltd",PUCBANKBK,pucbank.com,9b2b6e38f055e7bb0fb0f855badf7539,"[""people's urban co-operative bank ltd"", ""people's urban"", ""people's urban cooperative""],",
6510984e70c92eadc4ecf1c4,"""INDIALEIBK"" : [""warangal urban cooperative bank ltd"", ""warangal urban"", ""warangal urban cooperative""],",11,https://indialei.in/,Warangal Urban Cooperative Bank Ltd,INDIALEIBK,indialei.in,b5b59ec8afe0b43fca3c0f7089ebe22b,"[""warangal urban cooperative bank ltd"", ""warangal urban"", ""warangal urban cooperative""],",
6510984e70c92eadc4ecf1d2,"""UTKARSHBK"" : [""utkarsh small finance bank"", ""utkarsh""],",12,https://www.utkarsh.bank,Utkarsh Small Finance Bank,UTKARSHBK,utkarsh.bank,0684396593bb8a2e982ce4dd650ea6ea,"[""utkarsh small finance bank"", ""utkarsh""],",
6510984e70c92eadc4ecf1de,"""RAZORPAYBK"" : [""shri chhatrapathi rajarsshi shahu bank"", ""shahu"", ""shahu bank""],",12,https://razorpay.com,Shri Chhatrapathi Rajarsshi Shahu Bank,RAZORPAYBK,razorpay.com,cb776b4d43dfe1040776fcd88f1ba3c4,"[""shri chhatrapathi rajarsshi shahu bank"", ""shahu"", ""shahu bank""],",
6510984e70c92eadc4ecf1e3,"""VDNSBANKBK"" : [""vikramaditya nagrik sahakari bank"", ""vikramaditya"", ""vikramaditya cooperative""],",12,https://www.vdnsbank.com,VIKRAMADITYA NAGRIK SAHAKARI BANK,VDNSBANKBK,vdnsbank.com,73aedd09505674bf768a35a95387851b,"[""vikramaditya nagrik sahakari bank"", ""vikramaditya"", ""vikramaditya cooperative""],",
6510984e70c92eadc4ecf165,"""CITIBK"" : [""citi bank"", ""citi""],",8,https://www.citi.com,CITI Bank,CITIBK,citi.com,911c44d2826f5924422be0f9b52e2545,"[""citi bank"", ""citi""],",
6510984e70c92eadc4ecf154,"""TMBBK"" : [""tamilnad mercantile bank"", ""tmb""],",6,https://tmb.in,Tamilnad Mercantile Bank,TMBBK,tmb.in,7de8d2d67de4673fdd461931d50834a1,"[""tamilnad mercantile bank"", ""tmb""],",
